


mm_id,mm_code,mm_desc,mm_types_raw_material,mm_types_material_srv,mm_types_other,mm_stdprice,mm_uom_uom,mm_gstno,is_Active,createdAt,createdBy,modifiedAt,modifiedBy
11111111-1111-4111-8111-111111111111,MAT-ST-001,Mild Steel Sheet,SteelSetA-CSGN,MA,Industrial grade mild steel sheet (IS 2062),45000,KG,08ABCDE1234F1Z5,active,2024-02-01T10:00:00Z,admin,2024-02-01T10:00:00Z,admin
22222222-2222-4222-8222-222222222222,MAT-ST-002,Stainless Steel Rod,SteelSetA-CSGN,MA,SS304 corrosion-resistant rod,125000,KG,07ABCDE5678G2Z9,active,2024-02-01T10:00:00Z,admin,2024-02-01T10:00:00Z,user1
33333333-3333-4333-8333-333333333333,MAT-AL-001,Aluminum Sheet,SteelSetA-CSGN,MA,High-grade aluminium sheet,95000,KG,27ABCDE9876H3Z2,active,2024-02-02T09:00:00Z,user1,2024-02-02T09:00:00Z,user1
44444444-4444-4444-8444-444444444444,MAT-CU-001,Copper Wire,SteelSetA-CSGN,MA,Pure copper industrial wire,680000,KG,24ABCDE3456K4Z8,active,2024-02-02T09:30:00Z,admin,2024-02-02T09:30:00Z,user2
55555555-5555-4555-8555-555555555555,MAT-PL-001,PVC Pipe,SteelSetA-CSGN,MA,Heavy-duty PVC plumbing pipe,8500,MT,04ABCDE6543L5Z7,active,2024-02-03T11:00:00Z,user1,2024-02-03T11:00:00Z,user1
66666666-6666-4666-8666-666666666666,MAT-CE-001,Cement Bags,SteelSetA-CSGN,MA,Portland cement bags 50KG,420,BG,27ABCDE1122M6Z4,active,2024-02-03T11:30:00Z,user2,2024-02-03T11:30:00Z,user2
77777777-7777-4777-8777-777777777777,MAT-WD-001,Wooden Plank,SteelSetA-CSGN,MA,Industrial wooden planks Pinewood,3200,PL,29ABCDE7788N7Z1,inactive,2024-02-04T10:30:00Z,admin,2024-02-04T10:30:00Z,admin
88888888-8888-4888-8888-888888888888,MAT-GL-001,Glass Sheet,SteelSetA-CSGN,MA,Toughened glass architectural,7200,SH,36ABCDE9988P9Z3,active,2024-02-04T10:30:00Z,user2,2024-02-04T10:30:00Z,user2
99999999-9999-4999-8999-999999999999,MAT-RU-001,Rubber Sheet,SteelSetA-CSGN,MA,High-density industrial rubber sheet,35000,KG,32ABCDE5544Q1Z6,active,2024-02-05T14:00:00Z,user3,2024-02-05T14:00:00Z,user3
aaaaaaaa-aaaa-4aaa-8aaa-aaaaaaaaaaaa,MAT-BR-001,Brass Fitting,SteelSetA-CSGN,MA,Premium brass plumbing fittings,28500,PC,33ABCDE4412R2Z9,active,2024-02-05T14:00:00Z,user4,2024-02-05T14:00:00Z,user4
bbbbbbbb-bbbb-4bbb-8bbb-bbbbbbbbbbbb,MAT-EL-001,Electric Cable,SteelSetA-CSGN,MA,High-grade insulated electric cable,15500,MT,28ABCDE5521D9Z1,active,2024-02-06T09:00:00Z,admin,2024-02-06T09:00:00Z,admin
cccccccc-cccc-4ccc-8ccc-cccccccccccc,MAT-MT-001,Metal Fasteners,SteelSetA-CSGN,MA,Bolts nuts and industrial fasteners,150,PC,29ABCDE9974H3Z2,inactive,2024-02-06T09:00:00Z,user5,2024-02-06T09:00:00Z,user5

